N0004	L3	PRJEB8783	ERR964408	PacBio
N0004	L3	PRJEB8783	ERR964415	PacBio
N0031	L2	PRJEB8783	ERR956960	PacBio
N0031	L2	PRJEB8783	ERR964406	PacBio
N0052	L2	PRJEB8783	ERR956959	PacBio
N0052	L2	PRJEB8783	ERR964405	PacBio
N0054	L3	PRJEB8783	ERR964410	PacBio
N0054	L3	PRJEB8783	ERR964417	PacBio
N0072	L1	PRJEB8783	ERR956956	PacBio
N0072	L1	PRJEB8783	ERR964402	PacBio
N0091	L6	PRJEB8783	ERR964422	PacBio
N0091	L6	PRJEB8783	ERR968288	PacBio
N0136	L4	PRJEB8783	ERR964412	PacBio
N0136	L4	PRJEB8783	ERR964419	PacBio
N0145	L2	PRJEB8783	ERR956958	PacBio
N0145	L2	PRJEB8783	ERR964404	PacBio
N0153	L1	PRJEB8783	ERR956957	PacBio
N0153	L1	PRJEB8783	ERR964403	PacBio
N0155	L2	PRJEB8783	ERR964407	PacBio
N0155	L2	PRJEB8783	ERR964414	PacBio
N0157	L1	PRJEB8783	ERR956955	PacBio
N0157	L1	PRJEB8783	ERR964401	PacBio
N1063	L5	PRJEB8783	ERR964420	PacBio
N1063	L5	PRJEB8783	ERR968286	PacBio
N1176	L5	PRJEB8783	ERR1025289	PacBio
N1176	L5	PRJEB8783	ERR1036243	PacBio
N1177	L6	PRJEB8783	ERR987691	PacBio
N1177	L6	PRJEB8783	ERR999930	PacBio
N1202	L6	PRJEB8783	ERR968284	PacBio
N1202	L6	PRJEB8783	ERR968289	PacBio
N1216	L4	PRJEB8783	ERR964411	PacBio
N1216	L4	PRJEB8783	ERR964418	PacBio
N1272	L5	PRJEB8783	ERR964421	PacBio
N1272	L5	PRJEB8783	ERR968287	PacBio
N1274	L3	PRJEB8783	ERR964409	PacBio
N1274	L3	PRJEB8783	ERR964416	PacBio
N1283	L4	PRJEB8783	ERR964413	PacBio
N1283	L4	PRJEB8783	ERR968285	PacBio
N1283 - WT	L4	PRJEB8783	ERR964413	PacBio
N1283 - WT	L4	PRJEB8783	ERR968285	PacBio
